company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,source_page,source_row
Vitally,"Jul 28, 2025 12.57 PM",Vitally is provides businesses with tools Customer Success atform that enhance.,vitally.io,51-200,116,United States,(USA),New York,Brooklyn,Venture Capital,2017,39.3,30,"Feb 21, 2023",Series,HubSpot,nla,HubSpot,30,"Brooklyn, NY 11249, US",18 %,14%,16 %,23%,146%,728%,954%,12%,,,1,126
YottaMark,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM iFoodDS is a software company specializing in food safety, traceability, and quality __ food safety, traceability, ad quality_ yottamarkcom",yottamark.com,51-200,,United States,(USA),California,Redwood City,Private Equity,2005,45.1,,"Aug 14, 2012",Series,Series D,ataventures com,Corporate,,"1400 Bridge Parkway; Suite 101; Redwood City; CA 94065, US",-12%,12%,,,,,,,,,1,127
Scurri,"Jul 28, 2025 12.57 PM",Scurri is a delivery management software Scurri is provider that offers solutions Iike Scurri__. provider that offers solutions like Scurri _. delivery management software ~scurri com,scurri.com,51-200,,United States,(USA),Pennsylvania,Wexford,Venture Capital,2010,18.5,10.9,"Jun 14,2021",Series,Act Venture Capital,Corporate,Episode,,"Common Quay Street; Wexford, IE",~1%,~4%,-4%,4%,-1%,25%,42%,76%,76 %,33%,1,128
Proximity,"Jul 28, 2025 12.57 PM","JJul 28, 2025 12.57 PM Proximity is specializing in clienteling solutions for retail_ specializing in clienteling solutions for retail__ retail technology provider 'retail technology provider",proximityinsight.com,11-50,,(UK),United Kingdom,England,London,Venture Capital,2018,7.2,,"Mar 27, 2022",Series,Gresham House,Ventures,Corporate,,"Runway East, 52 Tabernacle Street; London, England ECZ A4NJ,",-7%,~7%,-9%,~9%,9%,-13%,~20%,7%,44%,-6%,1,129
Keen Decision Systems,"Jul 28, 2025 12.57 PM",analytics company analytics company that provides an Al _ {tha provides marketing Al-_,keends.com,11-50,,United States,(USA),North Carolina,Durham,Venture Capital,2010,17.9,,"Jul 18, 2022",Series,Ballast Point Ventures,nja,nla,,"27709, US",10%,18 %,-1%,13%,54%,72%,,,,,1,130
Kevala,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM provides software solutions provides software solutions for grid_ an energy analytics company that energy analytics company that grid.",kevala.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2014,,,"Aug 30, 2021",Series,C5 Capital,nla,nja,,"550 California St; #625; San Francisco, California 94104, US",-12%,~40%,-40%,-20%,~20%,-26%,-35%,41%,177%,225%,1,131
Naologic,"Jul 28, 2025 12.57 PM",Naologic is Naologic / Al-enabled no-code platform for Al-enabled no-code platform software company that offers an software company that offers for building_ building_.,naologic.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2017,,,Jan 2023,Series,nja,nla,nla,,"San Francisco, California 94103, US",-9%,9%,-16%,-16 %,11%,42%,233%,,,,1,132
Ambition,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM Ambition is a sales coaching software provider that offers Ambition is sales coaching software comprehensive platfor _ comprehensive platfor __",ambition.com,51-200,,United States,(USA),Tennessee,Chattanooga,Private Equity,2013,21.2,15.5,"Oct 6, 2021",Series,Nashville Capital Network,nfa,nja,,"1603 Fagan St; Chattanooga, Tennessee 37408,US",1%,-1%,-4%,4%,~22%,-22%,~40%,40%,13%,-24%,1,133
Canibuild,"Jul 28, 2025 12.57 PM",canibuild innovative innovative site planning solutions for__. canibuild is cme software company that provides planning solutions fon ',canibuild.com,51-200,90,Australia,New South Wales,Barangaroo,verumtek,Venture Capital,2020,9.4,5.8,Mar 2022,Series,Evp,nja,nla,,"Barangaroo, New South Wales 2000,AU",-1%,~1%,~4%,-4%,4%,7%,-7%,50%,246%,542%,1,134
Kojo,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM Kojo is material management solutions for the__ material management solutions for the: software company that provides",usekojo.com,51-200,159,United States,(USA),California,San Francisco,Venture Capital,2018,83.6,,"Sep 13, 2022",Series,8vc,nla,nja,,"San Francisco, California 94103, US",7%,13%,8 %,31%,62%,20%,,,,,1,135
Toucan,"Jul 28, 2025 12.57 PM",company that provides solutions for data__. company that provides solutions Toucan Toco is Toco data analytics software for data.,toucantoco.com,51-200,80,United States,(USA),Massachusetts,Boston,Venture Capital,2015,13.2,13.2,"Nov 27, 2019",Series,Balderton Capital,nla,nja,,"75 State St; Boston, Massachusetts 02109, US",1%,43%,~3%,3%,-6%,6%,6 %,~20%,-40%,~37%,1,136
Cascade,"Jul 28, 2025 12.57 PM",Cascade = offers ~offers comprehensive platform for strateg_ comprehensive platform for strateg .. strategy software company that,cascade.app,51-200,234,United States,(USA),New York,New York,Venture Capital,2016,20,,"Mar 20, 2022",Series,Carthona Capital,nfa,nja,20,"10005, US",9%,24%,-2%,~3%,3%,25%,46%,-11%,,,1,137
Explorate,"Jul 28, 2025 12.57 PM",Explorate is in freight forwarding and supply chain_. logistics company specializing,explorate.co,51-200,,Australia,Queensland,Fortitude Valley,exploratehq,Venture Capital,2017,,,"Jan 19, 2022",Series,Evp,nja,Cardinia Ventures,,"Valley , Queensland 4006, AU",~1%,-5%,5%,-11%,9%,175%,400%,,,,1,138
Replica,"Jul 28, 2025 12.57 PM",Replica is provides tools and datasets for transportatio__ data analytics company that,replicahq.com,51-200,,United States,(USA),Kansas,Leawood,Venture Capital,2019,,,"Apr 20, 2021",Series,Firebrand Ventures,nja,Sidewalk Labs (Pa,,"3610 W 95th Street; Leawood, KS 66206, US",41%,1%,-1%,-8%,-8 %,-21%,-41%,-10%,88 %,-17%,1,140
UserVoice,"Jul 28, 2025 12.57 PM",UserVoice is a software company that specializes in product feedback manageme,uservoice.com,11-50,,United States,(USA),North Carolina,Raleigh,Venture Capital,2008,9.6,7.5,"Sep 14,2015",Series,nia,nja,LocalGlobe,,"234 Fayetteville St; 3rd Floor; Raleigh, NC 27601,US",2%,-13%,~27%,-32%,,,,,,,1,143
WAR,"Jul 28, 2025 12.57 PM",provides pricing and supply chain solutions: 123N4R is plastic materials supplier that,zhaosuliao.com,201-500,,China,Guangdong,Guangzhou,%e6%89%be%es_,Venture Capital,2014,,,,Series,Horizons Ventures,nja,Zhen Shun Investr,"27,","510000, CN",-3%,42%,3%,15 %,25%,,,,,,1,144
Alleaves,"Jul 28, 2025 12.57 PM",cannabis technology solutions. They provid_ software company specializing in,alleaves.com,51-200,,United States,(USA),Florida,Fort Lauderdale,Venture Capital,2018,,,"Jul 18, 2022",Series,theelevenfund com,Corporate,~theelevenfundcon,,"6750 N Andrews Ave Suite 325; Fort Lauderdale; FL 33309, US",13%,23%,8 %,188 %,136 %,~87%,,,,,1,145
CBX Soitware,"Jul 28, 2025 12.57 PM",software provider that offers TradeBeyond supply chain management ~suite of__,cbxsoftware.com,201-500,161,Hong Kong,SAR,nla,nia,Venture Capital,1995,,,May 2022,Series,Baring Private Equity Asia,nja,Baring Private Equ,,,1%,3%,8 %,,,,,,,,1,146
EaswiaaXTRA,"Jul 28, 2025 12.57 PM",Shanghai Laoqin Information Technology Co Ltd. is a labor management software provide,coho.com,51-200,,China,Shanghai,Shanghai,%e4%b8%8a%e6_,Venture Capital,2014,15.2,14.5,"Dec 17, 2018",Series,China Growth Capital,nja,China Growth Cap,,6041;,12%,22%,,,,,,,,,1,148
Plecto Latinoamerica,"Jul 28, 2025 12.57 PM",performance management solutions through Plecto software company that provides,plecto.com,1-10,,Guatemala,Guatemala,Guatemala,City,Venture Capital,2012,1.5,1.5,"Jun 27, 2019",Series,Nordic Eye Venture,Grow,nja,,"Jun 27, 2019",-44%,,,,,,,,,,1,149
Optera,"Jul 28, 2025 12.57 PM",company that provides solutions for. carbon management software,opteraclimate.com,11-50,,United States,(USA),Colorado,Boulder,Venture Capital,2006,25.7,,"Sep 10, 2023",Series,AngelList,nja,Stout Street Capit:,,"1215 Spruce St; 201; Boulder; Colorado 80302, US",-29%,-25%,-22%,-17%,29%,200%,2%,,,,1,150
ArchiPro,"Jul 28, 2025 12.57 PM",customers with ArchiPro is digital platform that connects wide range products an:,archipro.co,51-200,128,New Zealand,Auckland,Auckland,archipro,Private Equity,2014,38.7,32.6,Mar 2022,Series,Icehouse Ventures,nja,Liger Trading NZ,,"Saint Georges Bay Road; Auckland, AUK, NZ",-3%,10%,-23%,-26%,62%,106%,,,,,1,151
Easyecom,"Jul 28, 2025 12.57 PM",specializing in eCommerce solutions It offer_ EasyEcom is a white-collar service company easyecomio 160 India Karnataka Bengaluru ealsyecom,solutions.it,51-200,160,India,Karnataka,Bengaluru,ealsyecom,Venture Capital,2015,,,Jan 2022,Series,nja,nja,boldbydesign com,,"BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL,",5 %,11%,28%,35%,146%,290%,540%,,,,1,152
Wandelbots,"Jul 28, 2025 12.57 PM",that specializes in robotics software company providing innovative:,wandelbots.com,51-200,115,Germany,Saxony,Dresden,wandelbots,Private Equity,2017,122.2,84,"Jan 24, 2022",Series,83north,nja,SquareOne Ventur,84,"RayskistraBe 25; Dresden, Saxony 01219, DE",0%,3%,9%,-21%,-17%,13%,88 %,~52%,,,1,155
Staffinc Group,"Jul 28, 2025 12.57 PM",Staffinc specializes in labor supply ad HR services_ an outsourcing company that,staffinc.co,51-200,336,Indonesia,Jakarta,Jakarta,staffinc-group,Venture Capital,2018,3.9,3.9,"Aug 31, 2023",Series,Access Ventures,nja,Altara Ventures,24,"Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan,",12%,28%,92%,166 %,,,,,,,1,159
NextBillion.a,"Jul 28, 2025 12.57 PM",specializing in logistics and route optimizati_ NextBillion.ai is a software company,nextbillion.ai,51-200,,Singapore,nla,Singapore,extbillion-ai,Venture Capital,2020,37.3,,"Sep 21, 2022",Series,Microsoft Accelerator,nja,Mirae Assets,,"Straits Vw; Marina South, Singapore 018978, SG",-10%,-16%,-23%,-13%,23%,97%,25%,,,,1,161
Logistics Operating,"Jul 28, 2025 12.57 PM",specializing in supply chain solutions. They__ Grydd logistics software provider,grydd.com,51-200,,United States,(USA),Washington,Seattle,Venture Capital,2018,0.9,,"Jun 30,2024",Series,BDev Ventures,nja,newchip com,,"2815 Elliott Ave; 10O; Seattle, Washington 98121, US",-9%,-6%,6 %,-17%,16 %,93%,480%,,,,1,162
Insite Al,"Jul 28, 2025 12.57 PM",specializing in advanced analytics ad_ Insite Al is an solutions provider,insite.ai,51-200,,United States,(USA),Arkansas,Bentonville,Venture Capital,2019,20.3,,"Oct 10, 2022",Series,AIM,Angel Investors Marll,nla,,"Bentonville, Arkansas 72712, US",3%,8%,8 %,-4%,4%,1%,116 %,318%,,,1,163
Hicx,"Jul 28, 2025 12.57 PM",provider that HICX is a supplier management software specializes enhancing-_,hicx.com,51-200,,United Kingdom,(UK),England,London,Venture Capital,2004,,,"Sep 14, 2022",Series,Wavecrest Growth Partner:,nla,Wavecrest Growth,,"Surrey Quays; 505; London; London SE8 SEN, GB",2%,-4%,-14%,4%,37%,63%,210%,39%,,,1,164
PlatformE,"Jul 28, 2025 12.57 PM","that offers the RIPE SDK, enabling business. Platforme software development company",platforme.com,11-50,,Portugal,Porto,Porto,platforme -,Venture Capital,2016,16.6,,"Oct 27, 2019",Series,nla,Corporate,pmeinvestimentos,,"Rua Sa da Bandeira; 605; Porto, Porto 4000-437, PT",~5%,5%,~15%,-15%,4%,11%,31%,,,,1,165
QueueBuster POS,"Jul 28, 2025 12.57 PM",offers QueueBuster is a technology company that comprehensive point-of-sale (POS)__,queuebuster.co,51-200,104,India,Uttar Pradesh,Noida,queuebuster-co,Venture Capital,2015,,,"Jun 12, 2022",Series,Chiratae Ventures,nla,DMI AIF - The Spa,,"Noida, Uttar Pradesh 201307, IN",41%,-0%,0%,6 %,11%,,,,,,1,166
Sales Layer,"Jul 28, 2025 12.57 PM",Sales Layer = specializes in Product Information. software company that,saleslayer.com,51-200,,Spain,Community,Valencian,Valencia,Venture Capital,2013,30.4,,"Jun 17, 2022",Series,PeakSpan Capita,nla,Swanlaab Venture,,"Luz; Planta 82; Valencia,",2%,4%,16 %,12%,76%,185 %,-26%,,,,1,167
BeyondTrucks,"Jul 28, 2025 12.57 PM",BeyondTrucks is specializes in providing transportation . software company that,beyondtrucks.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2019,,,"Sep 29, 2024",Series,Deep Tech Fund (an Alumn,nla,Pear VC,,"1 Ferry Bldg;; Suite 201; San Francisco, California 94111, US",10%,29%,55%,82%,287%,-59%,,,,,1,169
SourceDay,"Jul 28, 2025 12.57 PM",company that offers software solutions for__ supply chain management,sourceday.com,51-200,,United States,(USA),Texas,Austin,Venture Capital,2013,57.6,31.5,"Feb 14, 2022",Series,Deep Tech Fund (an Alumn,nla,ATX Venture Partn,,"9737 Great Hills Trail; Suite 10O; Austin; Texas 78759,US",-12%,-17%,-20%,-35%,-33%,2%,4%,-23%,,,1,171
Survicate,"Jul 28, 2025 12.57 PM",Survicate is offers tools for collecting and analyzing__. survey software provider that,survicate.com,51-200,,United States,(USA),nla,nla,Private Equity,2013,3.5,2.4,"Jul 19, 2021",Series,Airbridge Equity Partners,nla,SpeedUp Venture,,"ulica Przyrynek 14; Warsaw; MA 00-219, PL",5%,7%,3%,33%,115%,100%,~4%,,,,1,172
Jo,"Jul 28, 2025 12.57 PM",offers cloud-based solutions for businesses. Qoyod an accounting software provider that,qoyod.com,51-200,249,Saudi Arabia,Riyadh,Riyadh,wwyod-,Other Financial,2016,20,,"Dec 28, 2020",Series,Merak Capital,nla,Arzan Venture Car,20,Riyadh; SA,5%,13%,19%,76%,492%,896%,-11%,,,,1,174
Blaze,"Jul 28, 2025 12.57 PM",BLAZE is offers comprehensive suite of solutions fo_ cannabis software provider that,blaze.me,51-200,,United States,(USA),California,Anaheim,Venture Capital,2017,9.5,155,"Mar 30, 2021",Series,Act One Ventures,Corporate,Delta Emerald Ven,155,"Riverview Dr; STE 304; Anaheim; California 92808, US",~2%,2%,-19%,-23%,29%,170%,342%,~15%,,,1,176
Rhim Ewrrtra&,"Jul 28, 2025 12.57 PM",specializes in e-commerce solutions. The_ Kuaidi1oo logistics service provider that,kuaidi1oo.com,,,,,,,Venture Capital,2015,5.8,,"Mar 23, 2017",Series,nla,nla,nla,,"#TR4J); Rtim,r$A 518000,CN",20%,-40%,100%,~21%,,,,,,,1,177
Beroe Inc,"Jul 28, 2025 12.57 PM",Beroe is a procurement intelligence provider that offers Al-powered solutions to help.,beroeinc.com,"501-1,000",796,United States,(USA),North Carolina,Raleigh,Private Equity,2006,84,,May 2016,Series,Access Asset Managers Pr,Corporate,Access Asset Mar,84,"27606, US",1%,4%,10%,24%,35%,47%,56 %,-15%,,,1,178
Kz,"Jul 28, 2025 12.57 PM",Huoban specializes in providing digital solutions for__ software company that,huoban.com,"501-1,000",,China,Beijing,Beijing,%e4%bc%/99%e4_,Private Equity,2012,97.9,,"Dec 15, 2021",Series,Engage Capital,nla,trustbridgepartner,,"shangdisanjie; haidian; Beijing, beijing; CN",6%,9%,5%,~27%,,,,,,,1,179
Calendly,"Jul 28, 2025 12.57 PM",that provides Calendly is scheduling software company platform for automating__,calendly.com,"501-1,000",558,United States,(USA),Georgia,Atlanta,Venture Capital,,350.6,350,"Jan 25, 2021",Series,Iconiq,Corporate,OpenView,350,"271 I7th St NW; IOth Floor; Atlanta, Georgia 30363, US",~5%,-14%,~14%,-19%,6%,100%,253%,4%,,,1,184
Fabric,"Jul 28, 2025 12.57 PM",that provides innovative solutions for retailer__ an automated fulfillment company,getfabric.com,,,,,,,Private Equity,2015,336,200,"Oct 25, 2021",Series,Aliment Capital,nla,Koch Disruptive Te,200,"524 Broadway; New York, New York 10012, US",2%,9%,20%,33%,37%,89%,155%,-26%,,,1,185
Prewave,"Jul 28, 2025 12.57 PM",~company that offers solutions for risk__ supply chain management,prewave.com,201-500,237,Austria,Vienna,Vienna,plewave,Venture Capital,2017,98.1,67.5,"Jun 24,2024",Series,Creandum,nla,Hedosophia,30,"Rothschildplatz 4; 3rd Floor; Vienna, 1020 , AT",33%,7%,26%,119%,438%,085 %,533%,72%,,,1,186
CSEMREENRTJRA,"Jul 28, 2025 12.57 PM",3VJIA is design solutions for the home decoration a__ software company specializing in,3vjia.com,"501-1,000",183,China,Guangdong,Guangzhou,es%bg%bf%ea__,Venture Capital,2013,117.6,,"Jun 18, 2023",Series,FENFWree+TR,nla,FANFW#Z?,,"Cm,CSA510663, CN",39%,0%,~2%,18 %,84%,,,,,,1,188
Vinculum Group,"Jul 28, 2025 12.57 PM",specializing Vinculum Group is omnichannel retail technolog-- SaaS provider,vinculumgroup.com,201-500,550,India,Uttar Pradesh,Noida,Iculumgroup,Venture Capital,2007,,,"Jul 24, 2023",Series,Accel,nla,InnoVen Capital In,,"Sector 62; Noida, Uttar Prades __",~0%,~2%,2%,~6%,6 %,7%,8 %,12%,~24%,,1,189
Aiperia,"Jul 28, 2025 12.57 PM",supply chain optimization for the food__ AIPERIA is a software company specializing in,aiperia.com,51-200,,Germany,nla,nla,planerai,Venture Capital,2021,,,"Apr 17, 2024",Series,Earlybird Venture Capital,nla,LBBW Venture Cal,,"Gitterle 2; GroBrinderfeld, Baden-Wirttemberg 97950, DE",3%,1%,9%,,,,,,,,1,190
Tailor,"Jul 28, 2025 12.57 PM",that specializes Tailor is . software development company customizable ERP _,tailor.tech,11-50,141,United States,(USA),California,San Francisco,Private Equity,2021,26.3,,"May 19, 2025",Series,Anri,nla,Anri,,"San Francisco, CA, US",7%,42%,166 %,540%,466 %,-19%,,,,,1,191
ENXMIETRXTRA&,"Jul 28, 2025 12.57 PM",specializing in digital economy solutions. WelinkData technology service provider Th_.,welinkdata.com,51-200,,China,Shanghai,Shanghai,%e4%b8%8a%e6_.,Venture Capital,2007,9.6,4.5,"Nov 20, 2017",Series,nla,nla,dchien cn,,"200062, CN",~8 %,-8%,-11%,-17%,~32%,,,,,,1,192
Recurrency,"Jul 28, 2025 12.57 PM",specializes ERP automation solutions for__ software company that,recurrency.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2018,22.1,,"Jan 31, 2023",Series,9Yards Capital,nla,Combinator,,"San Francisco, California 94114,US",16 %,19%,61%,51%,35%,212%,16%,,,,1,195
everstox,"Jul 28, 2025 12.57 PM",~everstox is integrated logistics solutions for eCommerc__. logistics company that provides,everstox.com,51-200,,Germany,Bavaria,Munich,~everstox,Venture Capital,2019,22.4,,"Nov 24, 2021",Series,Acton Capital,nla,Acton Capital,,"GanghoferstraBe 68b; Munich, Bavaria 80339, DE",-16%,-12%,-7%,~20%,1%,190%,814%,20%,,,1,196
Burq,"Jul 28, 2025 12.57 PM",Burq is a delivery service company that provides on-demand and same-day delivery__,burqup.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2021,10.5,10.5,"May 23, 2024",Series,Deep Tech Fund (an Alumn,nla,Bdmi,,"May 23, 2024",5%,8%,8 %,61%,182%,393%,028%,,,,2,3
Activities,"Jul 28, 2025 12.57 PM",BeMyGuest Pte. Ltd. is a technology provider specializing solutions for the travel::.,bemyguest.com,51-200,,Singapore,nla,nla,bumyguest-travel,Venture Capital,2012,,,"Jun 23, 2019",Series,nla,Corporate,Tidesquare,,"Singapore; Singapore, SG",~4%,~8 %,-8%,-10%,~2%,32%,41%,24%,~49%,,2,4
Saltmine,"Jul 28, 2025 12.57 PM","Saltmine is - that integrates data, people, and processes workplace optimization platform",saltmine.com,51-200,129,United States,(USA),California,San Francisco,Venture Capital,2016,,,"Dec 10, 2024",Series,Rigel Capital Management,nla,Xplorer Capital,,"601 California St; San Francisco, California 94108, US",3%,10%,,,,,,,,,2,5
Printerous,"Jul 28, 2025 12.57 PM",specializing in print and packaging solutions_. BZB e-procurement platform,printerous.com,51-200,,Indonesia,~Jakarta,West Jakarta,plinterous,Venture Capital,2015,,,"Feb 13, 2020",Series,AddVentures by SCG,nla,gdpventure com,,"Raya Kebayoran Lama No.333 A-B, Kebayoran Lama_",-10%,-18 %,-23%,~43%,~66%,~70%,68 %,,,,2,7
carbmee,"Jul 28, 2025 12.57 PM",that specializes Carbmee carbon management company providing automated__.,carbmee.com,51-200,,Germany,Berlin,Berlin,cairbmee,Venture Capital,2021,,,Dec 2024,Series,CommerzVentures,nla,Fly Ventures,,"Rosenthaler StraBe; 36; Berlin, 10178,DE",22%,44%,60%,50%,75%,800%,,,,,2,8
RRR-1*04405#+8,"Jul 28, 2025 12.57 PM",Mengxiang Technology platform that provides intelligent distribution__. ~commerce,aikucun.com,"1,001-5,000",,China,Shanghai,Shanghai,% e79/88%b1%e5_,Venture Capital,2014,212.5,110,"Oct 25, 2018",Series,GGV Capital,nla,Legend Capitallta,110,"Oct 25, 2018",35%,,,,,,,,,,2,9
Kraaft,"Jul 28, 2025 12.57 PM",in construction project management solutio__ Kraaft is - software company that specializes,kraaft.co,11-50,,France,ile-De-France,Paris,kraaft-co,Venture Capital,2020,16.8,13.5,"Jan 20, 2025",Series,Brick =,Mortar Ventures,nla,,"99, Rue La Fayette; Paris, Ile-de-France 75010, FR",9%,51%,64%,115%,124%,211%,366%,,,,2,10
DOSS.COM,"Jul 28, 2025 12.57 PM",Doss in providing enterprise resource planning_. software company that specializes,doss.com,11-50,,United States,(USA),California,San Francisco,Venture Capital,2019,23.4,,"Apr 14, 2025",Series,20sales.vc,nla,2sales vc,,"San Francisco, CA, US",10%,35%,157%,285%,311%,,,,,,2,11
mater,"Jul 28, 2025 12.57 PM",m3ter is usage-based billing solutions for BZB_. software company specializing in,mater.com,51-200,,United Kingdom,(UK),England,London,Private Equity,2020,31.5,,"Apr 26, 2023",Series,Insight Partners,nla,Notion Capital,,"London, GB",~5%,-7%,-16%,-16 %,4%,50%,410%,,,,2,12
Napta,"Jul 28, 2025 12.57 PM",Napta is a staffing solution provider that offers comprehensive platform for staffing and_.,napta.io,51-200,,France,ile-De-France,Paris,pickyourskills,Venture Capital,2016,9.9,8.8,"Mar 21, 2022",Series,Kerala Ventures,nla,Kerala Ventures,,"63, Rue Saint-Sabin; Paris, ile-de-France 75011, FR",1%,~4%,4%,~2%,12%,0%,,,,,2,13
Sprig,"Jul 28, 2025 12.57 PM",in product experience management software company that - specializes ofters _.,sprig.com,51-200,256,United States,(USA),California,San Francisco,Venture Capital,2019,,,Aug 2022,Series,Accel,nla,Accel,,"71 Stevenson St; San Francisco, California 94105, US",2%,208%,232%,276%,146%,333%,,,,,2,14
Builder Prime,"Jul 28, 2025 12.57 PM",provides an all-in-one CRM and estimating__. software company that,builderprime.com,11-50,,United States,(USA),New York,Staten Island,Private Equity,2016,,,"May 30, 2023",Series,Blueprint Equity,nla,Blueprint Equity,,"Staten Island; NY 10314, US",10%,13%,57%,477%,633%,500%,17%,,,,2,15
Agrivi,"Jul 28, 2025 12.57 PM",AGRIVI is in digital agriculture solutions technology company specializing offers a .,agrivi.com,51-200,,United Kingdom,(UK),England,London,Venture Capital,2013,7.3,5.3,"Nov 16, 2020",Series,AgriTech Hub Fund,Corporate,Fil Rouge Capital,,"Wenlock Road 20-22; London; England N1 7GU, GB",2%,-7%,-2%,~25%,~34%,~2%,5%,332%,,,2,17
CartonCloud,"Jul 28, 2025 12.57 PM",that offers cloud-based solutions for__ CartonCloud is a logistics software provider,cartoncloud.com,51-200,,Australia,Queensland,Burleigh Heads,cairtoncloud,Venture Capital,2014,10.8,8.5,"Jan 30, 2022",Series,nla,nla,qic comau,,"27-29 Dover Drive; Burleigh Heads, QLD 4220, AU",1%,3%,10%,44%,116 %,209%,11%,,,,2,18
Eturnity AG,"Jul 28, 2025 12.57 PM",Eturnity AG is specializing in renewable energy solutions. software company,eturnity.ch,51-200,,nla,Switzerland,Grisons,Chur,Private Equity,2012,8.8,8.8,,Series,Alantra,nla,Venture Kick,,,,,,,,,,,,,2,19
Chain.io,"Jul 28, 2025 12.57 PM",specializes Chain.io is a logistics software provider that integration solutions for the.,chain.io,11-50,,United States,(USA),Pennsylvania,Philadelphia,Venture Capital,2017,,,"Jun 14, 2022",Series,Eve Atlas,nla,Eve Atlas,,"399 Market Street; Suite 360; Philadelphia; PA 19106,US",~3%,-11%,11%,~17%,-17%,~33%,~34%,18 %,146%,128 %,2,20
Deck Commerce,"Jul 28, 2025 12.57 PM",specializing in order management systems technology provider,deckcommerce.com,11-50,,United States,(USA),Missouri,St: Louis,Venture Capital,2015,12.5,7.8,"Oct 11, 2021",Series,Plymouth Growth,nla,Arsenal Capital M:,,"Brentwood Blvd; St Louis, Missouri, US",-4%,-12%,-10%,18 %,~24%,46%,148%,,,,2,21
Ttez (New Core Tech),"Jul 28, 2025 12.57 PM","Shanghai Niuku Information Technology Ltd. is a technology solutions provider __ Co,,",xinheyun.com,51-200,,China,Shanghai,Shanghai,xinheyun,Venture Capital,2014,54.2,30.9,"Aug 22, 2021",Series,Cowin Venture Capital,nla,IDG Capital,,"QWA_61078; Exm, :wm 200000, CN",9%,43%,91%,187%,,,,,,,2,22
Cradle Technology Services (Pty) Ltd,"Jul 28, 2025 12.57 PM",solutions provider specializing in barcoding_. Cradle Technology Services technology,cradle.co,11-50,,South Africa,Western Cape,Cape Town,cradle-technology-,Venture Capital,2000,,,"Jul 7, 2019",Series,Knife Capital,nla,Knife Capital,,"Olive Grove Business Park; Old Paardevlei Road,",-4%,4%,~4%,11%,,,,,,,2,23
Camunda,"Jul 28, 2025 12.57 PM",specializes workflow and decision . software company that,camunda.com,"501-1,000",550,Germany,Berlin,Berlin,caimunda-services -,Private Equity,2008,126.2,97.8,"Mar 21, 2021",Series,Highland Europe,nla,Highland Europe,,"Strasse 55-58; Berlin, Deutschland 10961,DE",2%,6%,16 %,50%,75%,93%,202%,-9%,,,2,24
BuyCo,"Jul 28, 2025 12.57 PM",BuyCo is in container shipping solutions. logistics platform that specializes offers a .,buyco.co,51-200,,France,Provence-Alpes -,Cote D'Azur,Marseille,Venture Capital,2015,9.7,,"Jul 23, 2023",Series,Banque Populaire du Sud,nla,Cma Cgm,,"37 bld Paul Peyral; MARSEILLE, PACA 13006, FR",33%,10%,12%,-13%,1%,28%,106%,,,,2,25
paretos,"Jul 28, 2025 12.57 PM",in decision intelligence solutions. It offers AI__. Paretos technology company speciae lizing,paretos.com,51-200,,Germany,Wurttemberg,Baden -,Heidelberg,Private Equity,2020,19.8,,"Oct 27, 2024",Series,Acton Capital,nla,UVC Partners,,"Palo-Alto Platz 13; Heidelberg, Baden-Wurttemberg 69124,DE",3%,23%,52%,70%,431%,,,,,,2,26
Enode,"Jul 28, 2025 12.57 PM",provides API solutions for connecting and_ an energy technology company that,enode.com,11-50,,Norway,Oslo,Oslo,eriode-io,Venture Capital,2020,17.2,,Nov 2022,Series,BoxGroup,nla,lowercarboncapita,,"Inkognitogata; Oslo, NO",3%,7%,20%,66 %,252%,650%,900%,45%,,,2,27
LoyaltyLion,"Jul 28, 2025 12.57 PM",LoyaltyLion is offers software solutions to enhance: loyalty program provider that,ioyaltylion.com,51-200,,United Kingdom,(UK),England,London,Venture Capital,2012,7.3,,Feb 2021,Series,Kennet Partners,nla,Downing,,"20 Farringdon Street; London; England EC4A 4AB, GB",~5%,5%,~2%,~20%,-29%,-17%,73%,0%,,,2,28
